customer_id,first_name,last_name,email,signup_date,city,country,segment,acquisition_channel,nro_email_asociado
141,Isabella,Davis,,2024-11-26,,paraguay,Retail,Referido,1
180,David,García,,2025-12-05,Barcelona,españa,Retail,Facebook Ads,1
231,Thiago,Ruiz,,2025-07-17,Barcelona,españa,Retail,Google Ads,1
255,Paula,Medina,,2025-04-06,Rio de Janeiro,brasil,Retail,Facebook Ads,1
262,Josefina,López,,2026-04-20,Miami,estados unidos,Retail,Orgánico/SEO,1
28,Sebastián,García,,2026-03-30,Córdoba,argentina,Mayorista,Referido,1
307,Emiliano,Williams,,2025-09-12,Valparaíso,chile,Retail,Email Marketing,1
347,Diego,Flores,,2026-04-03,Ciudad de México,mexico,Retail,Google Ads,1
357,Florencia,Torres,,2024-08-14,Madrid,españa,Retail,Google Ads,1
367,Agustín,Rojas,,2024-12-01,La Plata,argentina,Mayorista,Referido,1
372,Miguel,Ruiz,,2024-11-02,Montevideo,uruguay,Retail,Influencers,1
391,Delfina,Medina,,2024-06-27,Santiago,chile,Retail,Instagram Ads,1
408,Juan,Flores,,2025-09-06,,chile,Retail,Referido,1
422,Tomás,Wilson,,2025-03-10,Rio de Janeiro,brasil,Retail,Referido,1
435,Pedro,Flores,,2025-03-03,Valparaíso,chile,Retail,Facebook Ads,1
436,Sofía,Brown,,2026-03-25,La Plata,argentina,Retail,Referido,1
49,Mateo,Sánchez,,2024-11-30,Asunción,paraguay,Retail,Email Marketing,1
499,Mia,González,,2025-09-21,Rio de Janeiro,brasil,Retail,Instagram Ads,1
503,Valeria,Miller,,2025-12-27,Madrid,españa,Retail,Orgánico/SEO,1
509,Michael,Martínez,,2024-06-25,La Plata,argentina,Retail,Email Marketing,1
584,Federico,Miller,,2025-07-29,Miami,estados unidos,Retail,Referido,1
132,Agustín,Benítez,agustin.benitez132@mail.com,2026-03-16,Bogotá,colombia,Mayorista,Google Ads,1
84,Agustín,Brown,agustin.brown84@mail.com,2025-05-19,Barcelona,españa,Retail,Orgánico/SEO,1
333,Agustín,Davis,agustin.davis333@mail.com,2026-06-07,Córdoba,argentina,Retail,Instagram Ads,1
327,Agustín,Díaz,agustin.diaz327@mail.com,2025-07-03,Barcelona,españa,Retail,Instagram Ads,1
530,Agustín,Flores,agustin.flores530@mail.com,2026-04-16,Córdoba,argentina,Retail,Referido,1
205,Agustín,Jones,agustin.jones205@mail.com,2024-07-02,Santiago,chile,Retail,Facebook Ads,1
506,Agustín,Jones,agustin.jones506@mail.com,2025-08-31,Barcelona,españa,Retail,Email Marketing,1
526,Agustín,Molina,agustin.molina526@mail.com,2026-01-25,Montevideo,uruguay,Retail,Email Marketing,1
574,Agustín,Molina,agustin.molina574@mail.com,2025-09-05,Asunción,paraguay,Retail,Instagram Ads,1
468,Agustín,Ortiz,agustin.ortiz468@mail.com,2024-09-25,Santiago,chile,Retail,Influencers,1
554,Agustín,Pérez,agustin.perez554@mail.com,2026-06-12,Córdoba,argentina,Retail,Influencers,1
137,Agustín,Ramírez,agustin.ramirez137@mail.com,2025-08-30,Miami,estados unidos,Mayorista,Referido,1
207,Agustín,Silva,agustin.silva207@mail.com,2024-08-18,Miami,estados unidos,Retail,Facebook Ads,1
579,Agustín,Silva,agustin.silva579@mail.com,2025-05-19,Asunción,paraguay,Retail,Google Ads,1
311,Amanda,Anderson,amanda.anderson311@mail.com,2026-01-28,Valparaíso,chile,Mayorista,Instagram Ads,1
264,Amanda,Brown,amanda.brown264@mail.com,2025-03-21,Córdoba,argentina,Retail,Referido,1
424,Amanda,García,amanda.garcia424@mail.com,2025-03-20,Mendoza,argentina,Retail,Email Marketing,1
401,Amanda,Gómez,amanda.gomez401@mail.com,2026-04-13,Montevideo,uruguay,Retail,Instagram Ads,1
358,Amanda,López,amanda.lopez358@mail.com,2025-11-01,Bogotá,colombia,Retail,Orgánico/SEO,1
589,Amanda,Medina,amanda.medina589@mail.com,2024-10-17,Miami,estados unidos,Mayorista,Orgánico/SEO,1
485,Amanda,Núñez,amanda.nunez485@mail.com,2025-11-03,Madrid,españa,Retail,Instagram Ads,1
96,Amanda,Ruiz,amanda.ruiz96@mail.com,2024-09-26,Ciudad de México,mexico,Retail,Orgánico/SEO,1
