customer_id,first_name,last_name,email,signup_date,city,country,segment,acquisition_channel
1,Ana,Sánchez,ana.sanchez1@mail.com,2026-06-30,Buenos Aires,Argentina,Retail,Instagram Ads
2,Florencia,Pérez,florencia.perez2@mail.com,2024-07-03,Ciudad de México,México,Retail,Instagram Ads
3,Carlos,Davis,carlos.davis3@mail.com,2025-01-12,,México,Retail,Email Marketing
4,María,Núñez,maria.nunez4@mail.com,2025-03-12,Rio de Janeiro,brasil,Retail,Referido
5,Milagros,Benítez,milagros.benitez5@mail.com,2026-06-18,Córdoba,Argentina,Retail,Google Ads
6,Sarah,Silva,sarah.silva6@mail.com,2026-05-23,Valparaíso,Chile,Retail,Orgánico/SEO
7,Jessica,García,jessica.garcia7@mail.com,2025-03-12,Bogotá,Colombia,Retail,Referido
8,Gael,Medina,gael.medina8@mail.com,2026-02-14,Rosario,Argentina,Retail,Facebook Ads
9,Amanda,Wilson,amanda.wilson9@mail.com,2026-05-03,Montevideo,Uruguay,Retail,Referido
10,Valentina,Castro,valentina.castro10@mail.com,2025-03-02,Bogotá,Colombia,Retail,Facebook Ads
11,Pedro,Williams,pedro.williams11@mail.com,2026-03-21,Bogotá,Colombia,Retail,Email Marketing
12,Florencia,Benítez,florencia.benitez12@mail.com,2026-01-19,Ciudad de México,México,Retail,Instagram Ads
13,Valeria,López,valeria.lopez13@mail.com,2024-11-04,Mendoza,Argentina,Retail,Referido
14,Milagros,Johnson,milagros.johnson14@mail.com,2025-02-13,Barcelona,España,Mayorista,Referido
15,Benjamín,Davis,benjamin.davis15@mail.com,2026-03-19,Asunción,Paraguay,Retail,Email Marketing
16,Daniela,Benítez,daniela.benitez16@mail.com,2024-11-30,Barcelona,España,Retail,Google Ads
17,Ana,Jones,ana.jones17@mail.com,2024-11-04,Valparaíso,Chile,Retail,Instagram Ads
18,Sofía,Castro,sofia.castro18@mail.com,2024-06-20,Madrid,España,Retail,Email Marketing
19,Diego,Acosta,diego.acosta19@mail.com,2025-02-02,Córdoba,ARGENTINA,Retail,Google Ads
20,Isabella,Brown,isabella.brown20@mail.com,2025-02-27,Santiago,Chile,Retail,Facebook Ads
21,Daniela,Ruiz,daniela.ruiz21@mail.com,2025-07-14,São Paulo,Brasil,Mayorista,Orgánico/SEO
22,Emiliano,Flores,emiliano.flores22@mail.com,2025-05-13,Rosario,argentina,Retail,Facebook Ads
23,Julieta,Martínez,julieta.martinez23@mail.com,2025-05-05,Córdoba,Argentina,Retail,Instagram Ads
24,Daniela,Anderson,daniela.anderson24@mail.com,2025-02-04,Madrid,España,Retail,Referido
25,Laura,Núñez,laura.nunez25@mail.com,2025-08-08,Lima,Perú,Retail,Referido
26,Pedro,García,pedro.garcia26@mail.com,2025-07-18,Córdoba,Arg.,Retail,Referido
27,Isabella,Núñez,isabella.nunez27@mail.com,2025-03-13,Santiago,Chile,Retail,Referido
28,Sebastián,García,,2026-03-30,Córdoba,Argentina,Mayorista,Referido
29,Emiliano,Álvarez,emiliano.alvarez29@mail.com,2025-10-11,Ciudad de México,México,Retail,Referido
30,Delfina,Benítez,delfina.benitez30@mail.com,2025-03-20,Miami,Estados Unidos,Retail,Orgánico/SEO
31,Thiago,Ruiz,thiago.ruiz31@mail.com,2025-01-09,São Paulo,Brasil,Mayorista,Facebook Ads
32,Federico,Brown,federico.brown32@mail.com,2025-11-26,Barcelona,España,Retail,Facebook Ads
33,Milagros,Martínez,milagros.martinez33@mail.com,2025-07-19,Montevideo,Uruguay,Retail,Facebook Ads
34,Gonzalo,Pérez,gonzalo.perez34@mail.com,2026-04-05,Ciudad de México,México,Retail,Facebook Ads
35,Antonella,Acosta,antonella.acosta35@mail.com,2025-07-11,Asunción,Paraguay,Retail,Orgánico/SEO
36,Valeria,Martínez,valeria.martinez36@mail.com,2025-09-13,Buenos Aires,Argentina,Retail,Facebook Ads
37,Isabella,Gómez,isabella.gomez37@mail.com,2025-02-06,Rosario,argentina,Retail,Instagram Ads
38,Laura,Wilson,laura.wilson38@mail.com,2026-04-11,São Paulo,Brasil,Retail,Instagram Ads
39,Thiago,Medina,thiago.medina39@mail.com,2026-02-10,São Paulo,brasil,Retail,Email Marketing
40,Mia,López,mia.lopez40@mail.com,2026-03-12,Rosario,Argentina,Retail,Email Marketing
41,Emma,Smith,emma.smith41@mail.com,2025-12-27,Ciudad de México,México,Retail,Google Ads
42,Sarah,Silva,sarah.silva42@mail.com,2025-08-15,La Plata,Argentina,Retail,Email Marketing
43,Valentina,Gómez,valentina.gomez43@mail.com,2026-04-30,Valparaíso,Chile,Retail,Google Ads
44,Gonzalo,Díaz,gonzalo.diaz44@mail.com,2024-11-14,Montevideo,Uruguay,Mayorista,Referido
45,Joaquín,Ortiz,joaquin.ortiz45@mail.com,2026-04-17,Ciudad de México,México,Retail,Referido
46,Delfina,Fernández,delfina.fernandez46@mail.com,2025-01-14,Madrid,España,Retail,Influencers
47,Jessica,Flores,jessica.flores47@mail.com,2024-06-25,Montevideo,Uruguay,Retail,Influencers
48,Miguel,Medina,miguel.medina48@mail.com,2026-03-19,Lima,Perú,Retail,Orgánico/SEO
